ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
PK-CWP,small_airport,Campbellpore Airport,"72.36689758, 33.76670074",1175,AS,PK,PK-PB,Campbellpore,,CWP,
PK-GRT,small_airport,Gujrat Airport,"74.07710266, 32.60309982",760,AS,PK,PK-PB,Gujrat,,GRT,
PK-HRA,small_airport,Mansehra Airport,"73.20020294, 34.33332062",3530,AS,PK,PK-NW,Mansehra,,HRA,
PK-KCF,small_airport,Kadanwari Airport,"69.3167038, 27.16670036",248,AS,PK,PK-SD,Kadanwari,OPKW,KCF,
PK-REQ,small_airport,Reko Diq Airport,"62.43330002, 28.9708004",2900,AS,PK,PK-BA,Chagai,,REQ,
PK-RZS,small_airport,Sawan Airport,"68.87809753, 26.96619987",160,AS,PK,PK-SD,Sawan,,RZS,
PK-SWV,closed,Shikarpur Airport,"70.433333, 29.166667",219,AS,PK,PK-SD,Shikarpur,,SWV,
PKMA,small_airport,Eniwetok Airport,"162.3280029, 11.34070015",13,OC,MH,MH-ENI,Eniwetok Atoll,PKMA,ENT,
PKMJ,medium_airport,Marshall Islands International Airport,"171.2720032, 7.064760208",6,OC,MH,MH-MAJ,Majuro Atoll,PKMJ,MAJ,MAJ
PKRO,small_airport,Dyess Army Air Field,"167.470993, 9.396889687",9,OC,MH,MH-KWA,Roi-Namur,PKRO,,ROI
PKSA,medium_airport,Kaieteur International Airport,"-59.49148178, 5.172754765",1520,SA,GY,GY-PT,Kaieteur Falls,SYKA,KAI,
PKWA,medium_airport,Bucholz Army Air Field,"167.7319946, 8.72012043",9,OC,MH,MH-KWA,Kwajalein,PKWA,KWA,KWA
PL-0001,small_airport,Bednary Airfield,"17.21879959, 52.53440094",341,EU,PL,PL-WP,Pobiedziska,EPPB,,
PL-0002,small_airport,Kołobrzeg-Bagicz,"15.68694401, 54.20072174",,EU,PL,PL-ZP,,EPKG,,
PL-0003,small_airport,Płoty  (Maków),"15.29019356, 53.7610817",,EU,PL,PL-ZP,,,,
PL-0004,closed,Borsk Air Base,"17.94277763, 53.95194244",466,EU,PL,PL-PM,Czersk,,,
PL-0005,closed,Broczyno Air Base,"16.28416634, 53.51944351",499,EU,PL,PL-ZP,Czaplinek,,,
PL-0006,closed,Brzeg-Skarbimierz Air Base,"17.41361046, 50.83694458",505,EU,PL,PL-OP,Brzeg,,,
PL-0007,closed,Chojna Air Base,"14.4216671, 52.9394455",187,EU,PL,PL-ZP,Chojna,,,
PL-0008,small_airport,Chrcynno Airport,"20.87305641, 52.57583237",368,EU,PL,PL-MZ,Nasielsk,,,
PL-0009,small_airport,Dęblin-Ułęż Air Base,"22.1016674, 51.61916733",558,EU,PL,PL-LU,Dęblin,,,
PL-0010,closed,Debrzno Air Base,"17.25916672, 53.52444458",509,EU,PL,PL-WP,Debrzno,,,
PL-0011,closed,Gdańsk-Wrzeszcz Air Base,"18.60250092, 54.39611053",,EU,PL,PL-PM,Gdańsk,,,
PL-0012,closed,Gostyń-Gola Air Base,"16.97611046, 51.88722229",354,EU,PL,PL-WP,Gostyń,,,
PL-0013,small_airport,Gorzów-Wojcieszyce Airport (under construction),"15.29360008, 52.78779984",148,EU,PL,PL-LB,Gorzów,,,
PL-0014,small_airport,Brzezie Highway Strip,"16.9843998, 53.81219864",499,EU,PL,PL-ZP,Biały Bór,,,
PL-0015,small_airport,Chociw  (Kanice) Highway Strip,"20.27330017, 51.6568985",531,EU,PL,PL-LD,Tomaszów Mazowiecki,,,
PL-0016,small_airport,Debrzno  (Słupia) Highway Strip,"17.26110077, 53.5705986",525,EU,PL,PL-PM,Debrzno,,,
PL-0017,small_airport,Dębnica Kaszubska Highway Strip,"17.21190071, 54.36830139",210,EU,PL,PL-PM,Słupsk,,,
PL-0018,small_airport,Gdynia  (Rumia) Highway Strip,"18.44309998, 54.60469818",36,EU,PL,PL-PM,Gdynia,,,
PL-0019,small_airport,Granowo Highway Strip,"16.59690094, 52.23220062",249,EU,PL,PL-WP,Grodzisk Wielkopolski,,,
PL-0020,small_airport,Jarosławiec Highway Strip,"16.50639915, 54.52500153",16,EU,PL,PL-ZP,Darłowo,,,
PL-0021,small_airport,Kliniska  (Szczecin) Highway Strip,"14.80420017, 53.42670059",49,EU,PL,PL-ZP,Szczecin,,,
PL-0022,small_airport,Koronowo Highway Strip,"18.01059914, 53.31140137",305,EU,PL,PL-KP,Koronowo,,,
PL-0023,small_airport,Leszno  (Rydzyna) Highway Strip,"16.62389946, 51.81499863",308,EU,PL,PL-WP,Leszno,,,
PL-0024,small_airport,Łukęcin  (Pobierowo) Highway Strip,"14.90530014, 54.04529953",23,EU,PL,PL-ZP,Kamień Pomorski,,,
PL-0025,small_airport,Machliny Highway Strip,"16.37140083, 53.45830154",449,EU,PL,PL-ZP,Czaplinek,,,
PL-0026,small_airport,Mieszkowice Highway Strip,"14.51169968, 52.75030136",164,EU,PL,PL-ZP,Mieszkowice,,,
PL-0027,small_airport,Mirosławiec  (Nowe Laski) Highway Strip,"16.15690041, 53.38610077",495,EU,PL,PL-ZP,Mirosławiec,,,
PL-0028,small_airport,Mostowo Highway Strip,"16.53720093, 54.06919861",276,EU,PL,PL-ZP,Koszalin,,,
PL-0029,small_airport,Osie  (Lipinki) Highway Strip,"18.45059967, 53.60829926",295,EU,PL,PL-KP,Świecie,,,
PL-0030,small_airport,Ostrowy  (Łobodno) Highway Strip,"19.0135994, 50.94829941",817,EU,PL,PL-SL,Kłobuck,,,
PL-0031,small_airport,Rossoszyca  (Warta) Highway Strip,"18.71829987, 51.70389938",446,EU,PL,PL-LD,Sieradz,,,
PL-0032,small_airport,Środa Śląska  (Komorniki) Highway Strip,"16.66860008, 51.16279984",449,EU,PL,PL-DS,Środa Śląska,,,
PL-0033,small_airport,Wielbark Highway Strip,"20.79190063, 53.36669922",436,EU,PL,PL-WN,Wielbark,,,
PL-0034,small_airport,Września Highway Strip,"17.62249947, 52.30110168",361,EU,PL,PL-WP,Września,,,
PL-0035,small_airport,Aleksandrów Łódzki Airport,"19.27000046, 51.79059982",623,EU,PL,PL-LD,Aleksandrów Łódzki,,,
PL-0036,small_airport,Białousy Airport,"23.22833061, 53.40472031",587,EU,PL,PL-PD,Sokółka,,,
PL-0037,small_airport,Bezmiechowa Airport,"22.40999985, 49.52027893",2014,EU,PL,PL-PK,Lesko,,,
PL-0038,small_airport,Brochocin Airport,"15.93278027, 51.20333099",663,EU,PL,PL-DS,Złotoryja,,,
PL-0039,small_airport,Chojne Airport,"18.79166985, 51.55167007",427,EU,PL,PL-LD,Sieradz,,,
PL-0041,small_airport,Dębica Airport,"15.62028027, 53.94361115",161,EU,PL,PL-ZP,Białogard,,,
PL-0042,small_airport,Dęblin-Podlodów Airport,"22.19805908, 51.62722015",522,EU,PL,PL-LU,Dęblin,,,
PL-0043,small_airport,Dębno Polskie Airport,"16.86750031, 51.59444046",305,EU,PL,PL-WP,Rawicz,,,
PL-0044,small_airport,Goszczanów Airport,"18.49309921, 51.79919815",446,EU,PL,PL-LD,Warta,,,
PL-0045,small_airport,Jaworze Airport,"15.71389008, 53.31138992",344,EU,PL,PL-ZP,Recz,,,
PL-0046,heliport,Kraków-Łęg Airport,"20.0124228, 50.06071016",636,EU,PL,PL-MA,Kraków,,,
PL-0047,small_airport,Kroczewo Airport,"20.53916931, 52.47360992",335,EU,PL,PL-MZ,Zakroczym,,,
PL-0048,small_airport,Krzewica Airport,"22.70055962, 52.05389023",509,EU,PL,PL-LU,Międzyrzec Podlaski,,,
PL-0049,small_airport,Łagowo Airport,"16.98333359, 51.96666718",295,EU,PL,PL-WP,Dolsk,,,
PL-0050,small_airport,Międzylesie Airport,"21.19889069, 52.21694183",322,EU,PL,PL-MZ,Warsaw,,,
PL-0051,small_airport,Nadarzyce Poligon Airport,"16.45667076, 53.47000122",413,EU,PL,PL-ZP,Wałcz,,,
PL-0052,small_airport,Namysłów Airport,"17.59361076, 51.06417084",492,EU,PL,PL-OP,Namysłów,,,
PL-0053,small_airport,Oława-Stanowice Field (closed),"17.24749947, 50.97861099",420,EU,PL,PL-DS,Oława,,,
PL-0054,small_airport,Orsk Airport,"16.35560036, 51.56719971",404,EU,PL,PL-DS,Szlichtyngowa,,,
